2021	Spring	CSCI	1010	1	31764	49	14	 MWF	0900	0950	\N
2021	Spring	CSCI	1010	2	31769	51	14	 MWF	1100	1150	\N
2021	Spring	CSCI	1011	1	31773	25	14	 M	1200	1340	\N
2021	Spring	CSCI	1011	2	31883	24	14	T	1200	1340	\N
2021	Spring	CSCI	1011	3	31885	26	14	W	1200	1340	\N
2021	Spring	CSCI	1011	4	31887	25	14	R	1200	1340	\N
2021	Spring	CSCI	2400	1	31891	54	1	\N	\N	\N	\N
2021	Spring	CSCI	2400	2	32794	45	1	\N	\N	\N	\N
2021	Spring	CSCI	2405	1	31892	50	1	\N	\N	\N	\N
2021	Spring	CSCI	2530	1	31895	27	9	TR	0930	1045	\N
2021	Spring	CSCI	2530	2	32985	50	9	TR	1230	1345	\N
2021	Spring	CSCI	2540	1	31897	15	4	TR	0930	1045	\N
2021	Spring	CSCI	2540	2	32866	35	4	TR	1230	1345	\N
2021	Spring	CSCI	3000	1	31899	40	12	TR	1100	1215	\N
2021	Spring	CSCI	3000	2	32997	37	12	TR	\N	\N	\N
2021	Spring	CSCI	3010	1	31901	24	9	MW	1400	1515	\N
2021	Spring	CSCI	3010	2	33003	49	9	MW	1700	1815	\N
2021	Spring	CSCI	3650	1	31907	7	5	MW	1400	1515	\N
2021	Spring	CSCI	3650	601	32880	80	5	MW	1400	1515	\N
2021	Spring	CSCI	4110	601	36431	5	7	\N	\N	\N	\N
2021	Spring	CSCI	4130	1	31914	39	3	MW	1530	1645	\N
2021	Spring	CSCI	4140	1	31918	36	7	TR	1230	1345	\N
2021	Spring	CSCI	4170	1	31921	40	8	TR	1400	1515	\N
2021	Spring	CSCI	4190	1	31923	1	5	MW	1700	1815	\N
2021	Spring	CSCI	4190	601	33853	14	5	MW	1700	1815	\N
2021	Spring	CSCI	4230	1	31924	28	11	MW	1100	1150	WI
2021	Spring	CSCI	4230	2	31926	26	12	TR	\N	\N	WI
2021	Spring	CSCI	4231	1	31927	28	11	T	1700	1840	\N
2021	Spring	CSCI	4231	2	31928	26	12	R	1700	1840	\N
2021	Spring	CSCI	4550	1	31929	35	9	TR	1530	1645	\N
2021	Spring	CSCI	4710	1	31930	42	16	MW	1400	1515	\N
2021	Spring	CSCI	4900	601	32990	2	14	T	1800	1850	\N
2021	Spring	CSCI	6010	1	31932	4	7	TR	0930	1045	\N
2021	Spring	CSCI	6010	601	31933	14	7	\N	\N	\N	\N
2021	Spring	CSCI	6030	1	31934	4	3	MW	1530	1645	\N
2021	Spring	CSCI	6030	601	31935	1	3	\N	\N	\N	\N
2021	Spring	CSCI	6040	601	31937	4	7	\N	\N	\N	\N
2021	Spring	CSCI	6100	601	31939	4	5	\N	\N	\N	\N
2021	Spring	CSCI	6600	1	31942	2	4	TR	1530	1645	\N
2021	Spring	CSCI	6600	601	31943	15	4	\N	\N	\N	\N
2021	Spring	CSCI	6710	1	31940	7	16	MW	1400	1515	\N
2021	Spring	CSCI	6710	601	31941	10	16	\N	\N	\N	\N
2021	Spring	CSCI	6995	601	36491	1	16	\N	\N	\N	\N
2021	Spring	CSCI	7000	1	36103	1	3	\N	\N	\N	\N
2021	Spring	CSCI	7000	2	36212	1	12	\N	\N	\N	\N
2021	Spring	CSCI	7000	3	36259	1	15	\N	\N	\N	\N
2021	Spring	CSCI	7000	4	36351	1	7	\N	\N	\N	\N
2021	Spring	CSCI	7000	5	36445	1	6	\N	\N	\N	\N
2021	Spring	DASC	6005	1	31950	1	6	MW	1700	1815	\N
2021	Spring	DASC	6005	601	31953	12	6	\N	\N	\N	\N
2021	Spring	DASC	6010	601	31958	17	7	\N	\N	\N	\N
2021	Spring	DASC	6030	1	32010	1	3	MW	1530	1645	\N
2021	Spring	DASC	6030	601	32011	4	3	\N	\N	\N	\N
2021	Spring	DASC	6040	601	32021	2	7	\N	\N	\N	\N
2021	Spring	SENG	1010	1	32026	9	1	\N	\N	\N	\N
2021	Spring	SENG	1020	1	32030	7	11	MWF	1000	1100	\N
2021	Spring	SENG	1030	1	32034	8	16	MW	1600	1715	\N
2021	Spring	SENG	2000	1	32040	7	11	MWF	1500	1550	\N
2021	Spring	SENG	2010	601	33987	6	15	MW	1230	1345	\N
2021	Spring	SENG	3000	1	32059	5	15	MW	1000	1115	\N
2021	Spring	SENG	6250	1	32981	2	8	TR	1100	1215	\N
2021	Spring	SENG	6250	601	32983	4	8	\N	\N	\N	\N
2021	Spring	SENG	6255	601	32087	6	15	\N	\N	\N	\N
2021	Spring	SENG	6285	1	32095	5	8	TR	1400	1515	\N
2021	Spring	SENG	6285	601	32097	17	8	\N	\N	\N	\N
2021	Spring	SENG	6290	601	36039	1	8	\N	\N	\N	\N
2021	Spring	SENG	7000	1	36062	2	15	\N	\N	\N	\N
2021	Spring	SENG	7000	602	36189	1	15	\N	\N	\N	\N
2021	Spring	SENG	7000	603	36584	1	15	\N	\N	\N	\N
2020	Fall	CSCI	1000	1	84173	19	14	MWF	1000	1130	\N
2020	Fall	CSCI	1003	1	84103	19	14	F	1200	1340	\N
2020	Fall	CSCI	2410	1	84146	48	9	\N	\N	\N	\N
