CSCI	1000	Explorations in Computing	U	3	1	Yes	Central principles of problem-solving and programming on a computer in a high-level programming language. Testing programs by hand and on a computer. Common classes of algorithms and how to write them. 2 lecture and 2 lab hours per week	\N
CSCI	1003	Explorations in Computing Lab	U	0	1	Yes	2 lecture and 2 lab hours per week. C: CSCI 1000. Implementing and testing basic algorithms using a high-level programming language.	\N
CSCI	1010	Algorithmic Problem Solving	U	4	1	Yes	3 lecture and 2 lab hours per week. P: Appropriate score on math section of the SAT/ACT or MATH 1065 or CSCI 1000; C: CSCI 1011. Design of algorithms and their implementation as programs in a high-level programming language such as Java.	\N
CSCI	1011	Algorithmic Problem Solving Lab	U	0	1	 Yes	3 lecture and 2 lab hours per week. C: CSCI 1010. Design, implement, and test fundamental algorithms using a high-level programming language such as Java. 	\N
CSCI	2400	Discrete Structures I	U	3	1	Yes	P: MATH 1065. Application of basic concepts in discrete mathematics to solving problems in the computing discipline	\N
CSCI	2405	Discrete Structures II	U	3	1	 Yes	P: CSCI 2400. Continuation of CSCI 2400. Application of advanced concepts in discrete mathematics to solve computational problems	\N
CSCI	2410	Digital Logic Design	 U	3	1	Yes	P: ENGR 1014 or ENGR 1016 and ENGR 2050. Introduction to digital logic and digital electronics, including Boolean algebra, number systems, logic gates, data structures, and both combinational and sequential logical design and optimization.	\N
CSCI	2530	Algorithms and Data Structures	U	4	1	Yes	P: CSCI 1010; P/C: CSCI 2400. Computational problem solving using fundamental algorithms and physical data structures. Design and analysis of algorithms that operate on these data structures.	\N
CSCI	2540	Data Abstraction and Object-Oriented Data Structures	U	3	1	Yes	P: CSCI 2530; P/C: CSCI 2405. Data abstractions including stacks, queues, graphs, tables, sets and domain-specific data abstractions. Implementations of data abstractions in object-oriented style and principles of class design.	\N
CSCI	3000	Operating Systems	U	3	1	Yes	P: CSCI 2405, CSCI 2530. Operating system design and implementation. Process and memory management, and file systems. Operating system support for distributed systems.	\N
