CSCI	1000	14	\N
CSCI	1003	14	\N
CSCI	1010	14	\N
CSCI	1011	14	\N
CSCI	2400	12	\N
CSCI	2405	12	\N
CSCI	2410	5	\N
CSCI	2530	1	\N
CSCI	2540	1	\N
CSCI	3000	9	\N
CSCI	3010	9	\N
CSCI	3030	12	\N
CSCI	3200	12	\N
CSCI	3550	9	\N
CSCI	3584	5	\N
CSCI	3650	5	\N
CSCI	3675	1	\N
CSCI	3700	4	\N
CSCI	3800	9	\N
CSCI	4110	7	\N
CSCI	4120	16	\N
CSCI	4130	6	\N
CSCI	4140	7	\N
CSCI	4150	6	\N
CSCI	4160	5	\N
CSCI	4170	8	\N
CSCI	4180	7	\N
CSCI	4190	5	\N
CSCI	4230	8	\N
CSCI	4231	8	\N
CSCI	4300	6	\N
CSCI	4520	9	\N
CSCI	4540	8	\N
CSCI	4550	9	\N
CSCI	4602	1	\N
CSCI	4627	1	\N
CSCI	4710	16	\N
CSCI	4900	14	\N
CSCI	4905	6	\N
SENG	1000	15	\N
SENG	1010	16	\N
SENG	1020	16	\N
SENG	1030	16	\N
SENG	2000	11	\N
SENG	2010	11	\N
SENG	2020	8	\N
SENG	3000	8	\N
SENG	3010	3	\N
SENG	3020	3	\N
SENG	3700	6	\N
SENG	4500	11	\N
SENG	4510	11	\N
CSCI	5002	5	\N
CSCI	5220	1	\N
CSCI	5501	6	\N
CSCI	5502	6	\N
CSCI	5503	6	\N
CSCI	5800	7	\N
CSCI	6010	7	\N
CSCI	6020	16	\N
CSCI	6030	6	\N
CSCI	6040	7	\N
CSCI	6045	15	\N
CSCI	6050	6	\N
CSCI	6100	5	\N
CSCI	6120	15	\N
CSCI	6130	15	\N
CSCI	6140	15	\N
CSCI	6150	5	\N
CSCI	6220	1	\N
CSCI	6230	8	\N
CSCI	6300	5	\N
CSCI	6410	5	\N
CSCI	6420	1	\N
CSCI	6510	5	\N
CSCI	6600	4	\N
CSCI	6710	16	\N
CSCI	6810	7	\N
CSCI	6820	6	\N
CSCI	6840	4	\N
CSCI	6905	6	\N
CSCI	6995	1	\N
CSCI	7000	8	\N
CSCI	7001	8	\N
SENG	5000	8	\N
SENG	5005	5	\N
SENG	6230	8	\N
SENG	6235	15	\N
SENG	6240	15	\N
SENG	6245	8	\N
SENG	6247	12	\N
SENG	6250	8	\N
SENG	6255	3	\N
SENG	6260	3	\N
SENG	6265	3	\N
SENG	6270	3	\N
SENG	6275	3	\N
SENG	6280	8	\N
SENG	6285	15	\N
SENG	6290	15	\N
SENG	7000	15	\N
DASC	6000	6	\N
DASC	6005	6	\N
DASC	6010	7	\N
DASC	6020	16	\N
DASC	6030	6	\N
DASC	6040	7	\N
DASC	6050	6	\N
DASC	6060	6	\N
DASC	6070	6	\N
DASC	6090	6	\N
\.


